lokasi,komoditas,tanggal,suhu_c,curah_hujan_mm,ph_tanah,produksi_kg,permintaan_kg,harga_per_kg,distribusi_jam,gap
Malang,Padi,2026-03-30,27.7,11.6,6.78,4819,4253,13185,5,566
Malang,Padi,2026-04-03,25.1,9.5,6.26,5219,5005,11022,6,214
Malang,Cabai,2026-01-05,28.2,8.4,6.52,1175,1790,34946,6,-615
Semarang,Padi,2026-04-25,27.2,0.0,6.46,5276,4948,15382,6,328
Semarang,Padi,2026-04-19,26.5,6.8,6.68,4873,3958,9822,7,915
Malang,Padi,2026-03-04,31.5,0.0,6.64,5357,4288,9294,6,1069
Malang,Cabai,2026-04-05,29.7,2.6,6.36,1010,565,30603,6,445
Semarang,Cabai,2026-03-27,30.4,0.0,6.63,1138,309,29499,5,829
Malang,Cabai,2026-04-22,28.1,7.3,6.66,924,760,37024,4,164
Semarang,Cabai,2026-01-16,29.2,1.0,6.33,1156,1167,37858,6,-11
Semarang,Padi,2026-03-27,30.3,0.0,6.71,4700,4846,15230,4,-146
Malang,Cabai,2026-02-20,30.2,4.1,6.61,1266,871,36615,4,395
Malang,Cabai,2026-02-08,28.2,9.7,6.43,862,623,34713,4,239
Malang,Cabai,2026-03-17,27.6,14.4,6.12,1147,1516,30071,7,-369
Semarang,Padi,2026-01-18,29.5,3.4,6.72,5108,5052,11922,4,56
Semarang,Cabai,2026-02-12,26.8,0.0,6.58,1242,740,34034,7,502
Malang,Cabai,2026-04-24,29.1,1.8,6.5,669,1499,36119,4,-830
Malang,Cabai,2026-01-28,27.6,4.2,6.36,1279,1725,35915,4,-446
Malang,Padi,2026-04-04,30.1,4.2,6.78,5343,4525,10951,6,818
Semarang,Padi,2026-04-03,28.4,2.4,6.4,4499,4468,13999,5,31
Semarang,Cabai,2026-01-28,32.0,1.9,6.37,1510,556,26907,6,954
Malang,Padi,2026-04-08,25.5,4.4,6.69,4614,5035,16896,6,-421
Malang,Cabai,2026-04-21,28.8,5.9,6.54,756,1599,41710,5,-843
Malang,Padi,2026-01-22,31.4,10.1,6.19,5277,5262,10851,4,15
Semarang,Cabai,2026-03-24,28.6,6.4,6.83,1217,654,35575,4,563
Malang,Padi,2026-01-07,28.3,0.0,6.48,5149,4845,13320,7,304
Semarang,Padi,2026-02-07,27.3,4.3,6.56,5056,4357,9626,4,699
Malang,Cabai,2026-01-27,29.0,4.6,6.81,1387,1323,32733,7,64
Malang,Cabai,2026-04-27,29.7,7.8,6.36,738,1682,39118,5,-944
Malang,Cabai,2026-01-16,29.8,7.3,6.22,1062,1566,38882,7,-504
Malang,Padi,2026-01-08,28.6,1.9,6.53,5229,4312,9984,7,917
Malang,Padi,2026-02-06,31.2,8.2,6.93,4774,5332,14755,5,-558
Semarang,Padi,2026-04-24,30.1,5.9,6.4,4467,4723,15288,5,-256
Semarang,Padi,2026-04-02,29.5,3.1,6.85,4694,4720,13145,7,-26
Malang,Cabai,2026-04-23,29.03973063973064,0.0,6.53,1049,722,34024,4,327
Malang,Padi,2026-01-12,29.2,0.0,6.07,5159,5419,14366,4,-260
Malang,Cabai,2026-02-15,26.7,0.0,6.64,1002,1425,32834,6,-423
Malang,Padi,2026-02-10,29.8,9.2,6.53,5049,4844,16156,5,205
Malang,Cabai,2026-04-21,27.0,7.7,6.29,1223,1044,37594,5,179
Semarang,Cabai,2026-01-30,28.4,7.1,6.34,913,1042,32590,7,-129
Malang,Padi,2026-02-08,28.7,2.0,6.35,4790,5045,16165,4,-255
Malang,Cabai,2026-02-02,31.7,0.0,6.5,1316,1000,30825,6,316
Malang,Padi,2026-01-01,30.1,16.1,6.55,4724,4865,13126,7,-141
Semarang,Padi,2026-01-17,28.1,0.0,6.47,5053,3926,8884,4,1127
Semarang,Cabai,2026-02-12,28.9,1.2,6.91,1287,561,33046,4,726
Semarang,Padi,2026-03-14,31.5,5.7,6.57,5101,4165,8946,4,936
Malang,Padi,2026-01-29,29.7,3.5,6.48,5307,4926,10698,7,381
Semarang,Cabai,2026-02-17,26.3,4.6,6.63,1139,1144,35093,5,-5
Semarang,Cabai,2026-02-14,27.5,4.5,6.64,1446,645,33909,7,801
Semarang,Cabai,2026-04-05,30.3,0.0,6.46,998,1239,37541,6,-241
Semarang,Cabai,2026-02-05,29.9,12.3,6.64,1236,1033,36805,4,203
Malang,Cabai,2026-03-24,31.8,8.5,6.41,856,1118,37236,4,-262
Semarang,Cabai,2026-04-05,32.4,10.4,6.54,1282,586,32315,5,696
Malang,Cabai,2026-01-11,27.3,1.7,6.28,764,851,32623,7,-87
Semarang,Padi,2026-01-11,27.2,12.6,6.6,5309,4736,12844,5,573
Malang,Cabai,2026-03-08,29.3,7.8,6.26,731,1238,35638,4,-507
Malang,Padi,2026-01-07,30.7,0.0,6.61,5187,4721,12834,7,466
Semarang,Cabai,2026-03-25,27.0,0.0,6.57,530,1038,37013,5,-508
Malang,Padi,2026-04-20,28.3,8.7,6.57,5094,5187,11393,7,-93
Semarang,Padi,2026-01-27,30.5,8.1,6.3,4926,4984,14021,6,-58
Semarang,Cabai,2026-01-30,31.2,0.0,6.62,1398,1154,35961,6,244
Malang,Padi,2026-03-10,29.5,10.2,6.53,5007,4859,16386,5,148
Malang,Cabai,2026-01-25,30.0,0.0,6.57,369,1250,41175,4,-881
Semarang,Cabai,2026-02-01,32.9,2.5,6.29,1444,1785,36712,6,-341
Malang,Cabai,2026-02-23,27.5,2.6,6.75,1505,1225,31840,5,280
Semarang,Cabai,2026-03-22,28.3,6.7,6.81,1256,1165,35471,5,91
Semarang,Cabai,2026-01-28,23.9,3.5,6.5,654,1154,37091,5,-500
Malang,Padi,2026-04-18,28.1,4.2,6.49,4864,5078,13553,7,-214
Malang,Padi,2026-02-15,26.7,8.1,6.5,4758,5358,15736,6,-600
Malang,Padi,2026-02-06,29.5,9.1,6.49,5136,4793,11892,6,343
Semarang,Cabai,2026-01-17,28.6,1.3,6.46,535,803,35770,7,-268
Malang,Cabai,2026-03-25,28.9,7.4,6.67,805,518,31480,5,287
Semarang,Padi,2026-01-10,27.5,0.0,6.41,5054,5238,13805,6,-184
Semarang,Padi,2026-02-07,28.9,0.8,6.61,4464,4856,16562,5,-392
Semarang,Padi,2026-04-20,29.2,4.5,6.56,4988,5618,15651,4,-630
Semarang,Padi,2026-01-09,27.9,0.0,6.54,5006,4568,12988,6,438
Malang,Cabai,2026-02-08,32.0,6.8,5.99,1596,1298,37422,5,298
Malang,Padi,2026-03-12,29.4,3.7,6.57,4787,5173,10676,7,-386
Malang,Cabai,2026-03-22,29.1,11.7,6.5,1518,894,33885,7,624
Malang,Padi,2026-01-25,27.2,9.8,6.55,4934,3970,8671,7,964
Semarang,Padi,2026-02-07,29.1,7.2,6.43,4701,4787,16820,6,-86
Semarang,Cabai,2026-02-28,29.8,7.3,6.6,706,727,33751,5,-21
Semarang,Cabai,2026-01-22,30.3,11.8,6.38,1039,472,30949,7,567
Malang,Cabai,2026-01-15,27.7,0.4,6.53,1172,1296,37617,6,-124
Semarang,Padi,2026-03-23,32.8,5.6,6.47,5182,4913,16360,6,269
Malang,Padi,2026-01-21,29.3,3.0,6.64,4661,5613,18404,4,-952
Malang,Padi,2026-02-21,30.4,2.7,6.63,5227,4740,9317,7,487
Malang,Cabai,2026-03-19,29.03973063973064,7.4,6.25,1138,1039,33217,6,99
Malang,Cabai,2026-02-01,31.3,5.9,6.21,682,827,38854,7,-145
Malang,Cabai,2026-04-09,25.7,1.7,6.25,699,1047,35937,6,-348
Malang,Padi,2026-01-19,27.8,0.4,6.78,5498,4122,7305,4,1376
Malang,Padi,2026-02-27,32.9,2.6,6.09,5173,5555,15302,7,-382
Malang,Padi,2026-04-14,30.7,2.7,6.57,5008,4969,15207,5,39
Semarang,Cabai,2026-01-09,30.6,0.1,6.32,621,1339,38379,6,-718
Semarang,Padi,2026-04-28,31.4,8.9,6.59,5456,4620,13314,5,836
Malang,Cabai,2026-02-19,31.3,0.0,6.34,817,788,32741,4,29
Semarang,Cabai,2026-04-26,29.7,2.1,6.14,1081,235,30632,7,846
Malang,Padi,2026-01-25,30.8,5.5,6.75,4746,5217,16754,7,-471
Malang,Padi,2026-04-14,30.5,6.4,6.17,4711,4950,15381,4,-239
Malang,Cabai,2026-02-06,32.0,8.0,6.51,936,619,33569,5,317
Malang,Cabai,2026-03-13,29.7,4.2,6.12,741,834,39240,7,-93
Malang,Cabai,2026-01-01,30.0,0.0,6.72,858,962,38171,4,-104
Semarang,Padi,2026-03-03,27.8,10.2,6.2,4150,4819,18448,6,-669
Semarang,Cabai,2026-01-15,28.2,10.8,6.13,883,1076,36863,4,-193
Semarang,Padi,2026-02-16,24.0,4.7,6.59,4705,5023,16483,5,-318
Semarang,Cabai,2026-01-07,27.1,4.0,6.62,1047,765,34038,6,282
Semarang,Padi,2026-02-04,31.3,3.3,6.59,5359,4451,8041,4,908
Malang,Padi,2026-02-05,32.5,0.7,6.39,5061,4519,10498,6,542
Semarang,Padi,2026-01-16,28.8,2.4,6.2,5096,5701,17061,4,-605
Malang,Cabai,2026-03-07,29.5,8.5,6.25,1510,1080,36113,4,430
Malang,Cabai,2026-02-08,30.6,7.8,6.5,925,1480,38055,5,-555
Semarang,Padi,2026-04-03,28.6,6.5,6.49,5365,4219,8557,7,1146
Semarang,Padi,2026-04-30,28.8,7.1,6.33,5383,5416,15332,5,-33
Malang,Padi,2026-01-22,27.6,9.3,6.83,5321,4708,11657,4,613
Malang,Cabai,2026-03-15,26.4,7.9,6.59,439,535,34913,4,-96
Semarang,Padi,2026-04-21,29.8,6.3,6.46,4773,5419,20540,5,-646
Semarang,Cabai,2026-03-16,30.0,3.2,6.47,1221,236,32711,4,985
Malang,Padi,2026-01-16,28.8,4.8,6.15,5448,5016,12726,6,432
Malang,Cabai,2026-03-20,29.9,3.7,6.67,361,960,36789,5,-599
Malang,Cabai,2026-03-04,27.6,1.4,6.48,731,1336,37286,5,-605
Malang,Padi,2026-01-14,23.2,3.1,6.29,4510,4505,14193,5,5
Malang,Padi,2026-02-06,27.8,7.3,6.41,4791,4538,9231,7,253
Semarang,Cabai,2026-02-23,28.8,2.9,6.31,1182,473,33007,5,709
Semarang,Padi,2026-04-21,27.0,1.2,6.21,4849,5390,17736,4,-541
Semarang,Padi,2026-02-19,26.8,4.7,6.34,5399,4521,11397,5,878
Malang,Padi,2026-01-09,30.8,14.1,6.42,5213,5912,16259,7,-699
Semarang,Padi,2026-03-07,30.4,0.0,6.43,5131,5074,14565,4,57
Malang,Cabai,2026-03-26,27.1,1.6,6.35,1249,1360,36457,7,-111
Malang,Padi,2026-01-27,32.3,12.6,6.65,5534,4337,6966,4,1197
Semarang,Cabai,2026-01-10,26.9,8.8,6.77,1208,1113,32549,7,95
Semarang,Cabai,2026-01-27,27.3,11.2,6.66,988,832,30168,4,156
Semarang,Padi,2026-04-08,28.9,4.7,6.64,5331,4976,15803,5,355
Malang,Cabai,2026-03-19,31.5,2.9,6.27,1096,977,34009,5,119
Semarang,Cabai,2026-01-18,29.5,3.4,6.68,1210,1349,34700,7,-139
Semarang,Padi,2026-03-08,30.7,1.0,6.34,4887,4774,13292,7,113
Semarang,Cabai,2026-04-19,29.4,3.8,6.49,1238,195,29762,6,1043
Semarang,Cabai,2026-04-14,27.0,0.0,6.62,428,1532,40973,6,-1104
Semarang,Padi,2026-02-14,28.1,0.0,6.34,4944,4214,9560,4,730
Malang,Cabai,2026-03-22,31.3,4.8,6.83,1235,1539,34990,4,-304
Malang,Padi,2026-03-17,25.8,7.4,6.44,5398,5271,15558,4,127
Semarang,Padi,2026-02-21,31.9,4.8,6.35,4783,5495,22928,6,-712
Semarang,Cabai,2026-02-12,30.8,1.2,6.7,1139,990,35137,6,149
Semarang,Cabai,2026-01-26,29.8,4.1,6.5,1053,1629,34662,4,-576
Semarang,Padi,2026-03-06,29.1,7.1,6.36,5348,5018,13743,4,330
Semarang,Padi,2026-01-13,30.5,10.1,6.74,4647,5570,17456,5,-923
Semarang,Cabai,2026-04-02,29.4,0.1,6.48,1101,927,33141,7,174
Semarang,Padi,2026-02-04,24.9,1.6,6.31,4928,4914,15849,5,14
Malang,Cabai,2026-02-22,33.0,1.1,6.53,1153,1977,38035,4,-824
Semarang,Padi,2026-04-01,27.3,3.2,6.28,4892,4663,14207,5,229
Semarang,Cabai,2026-03-12,31.0,6.3,6.13,1275,1073,36771,6,202
Malang,Cabai,2026-02-01,28.6,9.0,6.35,867,911,32921,7,-44
Malang,Cabai,2026-02-08,31.4,6.6,6.49,750,1438,39307,5,-688
Semarang,Cabai,2026-03-12,26.7,10.9,6.81,526,943,39899,5,-417
Malang,Padi,2026-04-11,29.8,4.7,6.19,5345,5144,10049,4,201
Malang,Padi,2026-02-21,28.6,3.7,6.82,4921,4894,11138,6,27
Semarang,Padi,2026-04-23,27.5,5.0,6.01,4546,4955,16287,7,-409
Semarang,Cabai,2026-04-29,28.2,4.9,6.59,1128,724,34810,6,404
Semarang,Cabai,2026-02-08,31.9,0.0,6.33,1244,334,33290,5,910
Malang,Cabai,2026-01-19,28.3,7.9,6.48,582,1422,44701,6,-840
Semarang,Cabai,2026-03-01,28.0,3.4,5.97,1405,1364,31328,7,41
Semarang,Cabai,2026-03-30,30.3,8.7,6.32,1149,1063,33835,4,86
Malang,Cabai,2026-01-18,30.9,0.0,6.73,781,1712,37644,7,-931
Malang,Padi,2026-02-15,29.1,7.5,6.24,4988,5055,13279,5,-67
Semarang,Padi,2026-04-29,28.3,1.2,6.44,5434,5586,17300,6,-152
Malang,Cabai,2026-02-22,29.2,5.2,6.48,1527,1546,36584,5,-19
Malang,Padi,2026-04-28,30.1,2.4,6.69,4723,5156,11585,7,-433
Malang,Padi,2026-02-18,27.9,15.4,6.71,5460,4733,10572,7,727
Semarang,Cabai,2026-03-01,30.0,13.2,6.29,944,298,29579,6,646
Semarang,Cabai,2026-02-12,30.5,13.3,6.46,1155,1297,33267,6,-142
Malang,Cabai,2026-02-14,27.9,8.6,6.38,989,583,35422,4,406
Malang,Cabai,2026-01-31,29.1,0.0,6.47,681,1235,37247,7,-554
Malang,Padi,2026-02-10,27.9,0.1,6.67,4948,4874,13233,6,74
Semarang,Padi,2026-02-09,29.4,0.0,6.32,5413,4854,10101,4,559
Semarang,Cabai,2026-02-14,26.9,4.9,6.16,1245,1470,37094,4,-225
Semarang,Padi,2026-04-25,27.3,0.0,6.42,4878,4797,16142,4,81
Malang,Cabai,2026-01-06,27.6,5.7,6.42,1119,1366,37733,4,-247
Semarang,Padi,2026-03-01,25.8,12.4,6.42,5235,4588,8948,6,647
Malang,Cabai,2026-02-21,31.0,11.3,6.54,1042,666,34468,4,376
Semarang,Cabai,2026-04-22,28.2,4.2,6.42,591,1279,37952,4,-688
Semarang,Cabai,2026-01-02,30.0,6.0,6.74,1144,918,32390,5,226
Malang,Cabai,2026-04-29,28.7,4.1,6.42,953,1770,36989,6,-817
Semarang,Cabai,2026-02-27,28.3,2.7,6.71,573,1328,38866,7,-755
Semarang,Cabai,2026-03-09,27.7,10.3,6.39,1122,1495,39622,5,-373
Malang,Cabai,2026-03-30,28.5,7.3,6.43,1751,1312,32973,6,439
Malang,Padi,2026-02-03,29.9,3.8,6.42,4954,4544,13386,6,410
Malang,Padi,2026-04-08,29.0,4.3,6.55,4829,4842,15449,5,-13
Malang,Cabai,2026-01-09,29.1,5.8,6.55,803,1589,41593,4,-786
Semarang,Cabai,2026-01-27,30.1,9.9,6.26,1508,304,30389,4,1204
Malang,Padi,2026-01-05,28.7,8.3,6.87,4915,4687,12012,5,228
Semarang,Padi,2026-03-19,28.0,4.0,6.68,4886,5303,14008,5,-417
Malang,Cabai,2026-04-15,28.8,5.7,6.24,1032,943,32036,6,89
Malang,Padi,2026-01-25,28.6,4.5,6.7,5510,4344,4597,4,1166
Semarang,Cabai,2026-04-11,30.0,10.3,6.26,305,1343,38533,4,-1038
Semarang,Cabai,2026-04-17,27.6,7.6,6.56,1050,601,32391,7,449
Malang,Padi,2026-01-27,31.9,0.0,6.38,5098,5501,15118,4,-403
Malang,Cabai,2026-02-12,29.2,15.2,6.56,993,1128,35652,7,-135
Semarang,Padi,2026-03-06,28.5,9.6,6.42,5194,5455,15525,6,-261
Semarang,Padi,2026-02-20,29.2,4.7,6.44,4613,4640,10129,6,-27
Semarang,Padi,2026-01-29,29.5,13.5,6.41,5289,5450,12406,6,-161
Semarang,Padi,2026-01-22,27.0,10.0,6.48,4612,4745,15504,6,-133
Malang,Padi,2026-02-09,28.4,3.8,6.5,5377,5021,12705,7,356
Malang,Padi,2026-02-15,33.3,0.0,6.31,5184,5501,15183,5,-317
Semarang,Cabai,2026-03-25,27.4,6.7,6.76,867,751,33312,6,116
Semarang,Cabai,2026-01-07,30.8,10.3,6.51,1564,1012,34824,5,552
Malang,Padi,2026-02-01,29.9,6.1,6.55,5384,5215,13588,5,169
Malang,Padi,2026-04-08,30.0,14.3,6.41,4545,5028,16844,6,-483
Semarang,Padi,2026-02-25,30.5,17.5,6.66,5293,4948,9504,5,345
Semarang,Cabai,2026-02-05,23.8,7.6,6.42,605,1052,35757,6,-447
Semarang,Cabai,2026-04-11,27.6,3.8,6.54,577,1085,34677,7,-508
Malang,Cabai,2026-01-02,26.1,2.1,6.39,1320,1069,31832,5,251
Semarang,Padi,2026-03-16,28.3,0.0,6.42,4933,5147,16284,7,-214
Malang,Cabai,2026-03-23,29.4,4.2,7.04,1019,750,33875,4,269
Malang,Cabai,2026-01-15,29.8,3.4,6.49,737,562,35882,4,175
Semarang,Padi,2026-02-22,25.4,7.4,6.14,4801,5346,18040,5,-545
Malang,Padi,2026-02-21,29.9,11.6,6.61,4394,4852,16206,5,-458
Semarang,Padi,2026-02-27,26.9,17.0,6.42,5705,4543,9504,5,1162
Semarang,Padi,2026-03-12,28.1,4.9,6.33,4923,4054,11078,5,869
Semarang,Padi,2026-01-30,33.5,8.4,6.73,5371,3899,7487,7,1472
Semarang,Padi,2026-03-14,26.2,0.0,6.3,4906,5260,16637,5,-354
Malang,Cabai,2026-01-12,30.6,7.2,6.16,778,1010,37626,4,-232
Semarang,Padi,2026-01-22,25.9,10.1,6.55,4596,4458,14084,4,138
Malang,Cabai,2026-02-17,31.7,0.0,6.66,837,1329,38826,4,-492
Malang,Cabai,2026-04-03,29.3,0.0,6.64,1150,1164,35461,4,-14
Malang,Cabai,2026-01-14,30.8,0.0,6.76,1039,1051,34707,6,-12
Malang,Cabai,2026-01-12,31.1,10.1,6.54,1266,666,33166,4,600
Malang,Cabai,2026-03-04,25.8,1.7,6.58,801,763,36336,7,38
Malang,Padi,2026-03-17,31.3,5.1,6.65,5185,4901,14303,4,284
Malang,Padi,2026-02-07,29.3,5.7,6.67,4866,4760,13807,6,106
Semarang,Padi,2026-03-13,27.0,2.4,6.43,4470,5599,19384,7,-1129
Malang,Padi,2026-04-06,30.4,2.3,6.53,4987,5579,16625,4,-592
Semarang,Padi,2026-03-28,31.4,3.9,6.4,4525,4975,15145,5,-450
Malang,Padi,2026-01-18,26.5,0.0,6.44,4755,5086,15001,6,-331
Semarang,Padi,2026-03-31,29.6,10.1,6.29,5298,4708,15346,6,590
Semarang,Cabai,2026-02-23,27.1,4.0,6.54,619,574,33386,7,45
Malang,Padi,2026-03-17,29.5,7.0,6.73,5030,5426,15336,7,-396
Semarang,Cabai,2026-02-09,30.5,8.2,6.53,631,1245,36347,4,-614
Malang,Padi,2026-02-19,28.8,11.1,6.31,5503,5363,10370,7,140
Malang,Padi,2026-03-06,30.3,0.1,6.18,4902,5467,16439,4,-565
Malang,Cabai,2026-01-16,29.8,7.2,6.5,730,1002,35245,4,-272
Semarang,Padi,2026-02-23,27.2,6.5,6.37,4132,5773,20056,6,-1641
Semarang,Cabai,2026-03-13,27.3,4.7,6.35,806,946,34954,6,-140
Semarang,Padi,2026-02-05,31.9,11.6,6.59,5198,5824,18272,5,-626
Malang,Padi,2026-01-04,26.8,4.8,6.34,4700,4647,10887,7,53
Malang,Padi,2026-04-05,32.3,5.3,6.53,4411,4957,19028,5,-546
Semarang,Cabai,2026-04-21,28.1,13.7,6.47,1096,1647,37445,4,-551
Semarang,Padi,2026-04-24,27.5,4.8,6.06,5395,4900,12162,6,495
Semarang,Cabai,2026-03-25,25.3,5.6,6.73,970,619,32037,5,351
Semarang,Padi,2026-03-25,28.7,12.5,6.38,4853,5183,15300,4,-330
Malang,Padi,2026-04-06,26.3,4.7,6.5,5292,4611,12559,4,681
Semarang,Cabai,2026-02-18,28.8,0.0,6.24,1580,936,33653,4,644
Semarang,Padi,2026-04-18,30.8,3.7,6.44,5220,5270,14615,7,-50
Semarang,Cabai,2026-04-26,25.5,3.1,6.17,1181,729,29596,4,452
Malang,Cabai,2026-02-11,27.4,5.7,6.46,648,318,33497,7,330
Semarang,Cabai,2026-04-08,28.7,7.2,6.67,1043,871,34189,6,172
Semarang,Cabai,2026-03-03,31.2,9.5,6.9,1684,529,28554,5,1155
Malang,Cabai,2026-01-30,34.0,4.8,6.55,543,1060,41448,4,-517
Malang,Padi,2026-03-23,31.6,2.0,6.42,4660,4659,10174,6,1
Semarang,Padi,2026-03-01,29.7,11.8,6.71,4835,4696,11862,4,139
Semarang,Cabai,2026-02-28,28.1,2.7,6.74,1013,1090,34470,6,-77
Malang,Cabai,2026-04-03,28.4,0.0,6.54,1172,608,31589,6,564
Malang,Cabai,2026-03-14,30.5,3.5,6.49,1148,1116,30848,5,32
Malang,Cabai,2026-02-17,28.7,2.4,6.23,676,191,32372,5,485
Semarang,Padi,2026-01-12,32.0,5.4,6.94,5105,4821,15279,4,284
Malang,Cabai,2026-04-29,28.5,5.0,6.57,998,711,30510,6,287
Semarang,Padi,2026-02-19,25.6,1.3,6.54,5132,4392,10121,4,740
Semarang,Padi,2026-01-04,29.5,2.6,6.68,4760,4543,12972,5,217
Semarang,Padi,2026-02-28,26.1,0.0,6.72,4704,4466,11186,4,238
Semarang,Cabai,2026-03-09,26.8,7.5,6.63,617,752,34628,6,-135
Semarang,Padi,2026-04-21,31.3,17.5,6.05,4722,5725,15413,6,-1003
Malang,Padi,2026-01-05,32.6,5.7,6.54,4616,4819,18509,6,-203
Malang,Cabai,2026-03-12,29.8,4.0,6.57,745,969,34837,7,-224
Malang,Cabai,2026-01-17,26.5,4.2,6.69,550,1241,37855,7,-691
Malang,Cabai,2026-04-23,29.6,11.0,6.38,1629,789,30864,5,840
Semarang,Cabai,2026-02-06,25.5,2.3,6.28,1040,1397,38077,4,-357
Semarang,Padi,2026-04-12,24.3,15.2,6.56,4767,5062,15827,7,-295
Malang,Cabai,2026-04-04,27.8,3.0,6.36,570,1058,38610,6,-488
Semarang,Padi,2026-02-17,29.6,2.3,6.67,4592,4639,12306,7,-47
Malang,Cabai,2026-04-12,31.2,9.7,6.6,1321,648,32332,6,673
Semarang,Cabai,2026-01-01,28.7,9.2,6.48,884,1216,38412,7,-332
Semarang,Cabai,2026-01-09,26.9,0.0,6.54,1182,1104,30710,4,78
Malang,Padi,2026-04-22,28.3,0.0,6.77,4674,5502,20031,7,-828
Semarang,Padi,2026-01-05,29.7,0.8,6.52,4855,4287,6699,4,568
Semarang,Padi,2026-01-27,27.9,8.5,6.73,4918,4863,14725,4,55
Malang,Padi,2026-04-12,29.03973063973064,8.4,6.11,4771,4648,13584,5,123
Semarang,Cabai,2026-04-28,28.0,2.5,6.73,1088,1507,37672,4,-419
Malang,Cabai,2026-04-01,30.5,12.0,6.81,1156,577,33364,7,579
Malang,Cabai,2026-02-27,29.8,1.0,6.27,1139,1746,40521,5,-607
Semarang,Padi,2026-03-23,30.3,4.7,6.68,4589,5079,16288,7,-490
Malang,Padi,2026-04-15,30.0,0.9,6.39,4803,5345,16686,4,-542
Semarang,Cabai,2026-03-15,29.0,13.1,6.25,1202,1188,33164,6,14
Malang,Cabai,2026-03-31,28.0,0.0,6.55,986,587,30917,5,399
Semarang,Cabai,2026-03-12,29.6,4.1,6.6,911,1117,34544,4,-206
Malang,Cabai,2026-02-01,28.9,7.4,6.53,1114,628,31388,7,486
Semarang,Padi,2026-02-05,31.7,3.2,6.27,5162,5538,13357,5,-376
Semarang,Cabai,2026-04-10,31.1,12.3,6.69,966,1487,38114,5,-521
Malang,Cabai,2026-01-02,31.2,11.0,6.28,1238,927,33721,6,311
Malang,Cabai,2026-03-23,32.0,0.0,6.16,420,1427,38488,5,-1007
Semarang,Padi,2026-02-12,29.3,4.4,6.32,5255,4949,11994,4,306
